2023-10-31,14.020000,14.099000,13.800000,13.900000,13.798230,75000
2023-11-01,13.900000,13.900000,13.400000,13.570000,13.470646,130800
2023-11-02,14.050000,15.150000,14.050000,15.150000,15.039078,77800
2023-11-03,16.440001,17.520000,16.290001,17.500000,17.371872,85900
2023-11-06,17.040001,17.040001,15.980000,16.280001,16.160805,96800
2023-11-07,16.200001,16.580000,16.084999,16.389999,16.269999,43300
2023-11-08,16.240000,16.240000,15.160000,15.480000,15.366662,75400
2023-11-09,15.640000,16.000000,15.390000,15.670000,15.555272,49200
2023-11-10,15.820000,16.170000,15.390000,15.680000,15.565198,57600
2023-11-13,15.680000,15.910000,15.550000,15.580000,15.465931,50200
2023-11-14,16.059999,16.934999,16.059999,16.150000,16.031755,74200
2023-11-15,16.290001,16.920000,16.280001,16.879999,16.756413,61100
2023-11-16,16.879999,17.030001,16.090000,16.510000,16.389120,38600
2023-11-17,16.670000,17.250000,16.549999,17.250000,17.123701,44400
2023-11-20,17.280001,18.127001,17.200001,18.000000,17.868214,111200
2023-11-21,17.780001,17.855000,17.389999,17.799999,17.669676,73000
2023-11-22,18.000000,18.000000,17.719999,17.879999,17.749092,60700
2023-11-24,17.850000,18.040001,17.780001,18.020000,17.888065,32200
2023-11-27,17.840000,17.840000,17.580000,17.709999,17.580334,74300
2023-11-28,17.620001,17.680000,17.330000,17.340000,17.213045,35100
2023-11-29,17.600000,18.100000,17.530001,18.010000,17.878138,48000
2023-11-30,18.139999,18.145000,17.639999,17.709999,17.580334,50600
2023-12-01,17.900000,19.500000,17.760000,19.379999,19.238108,130200
2023-12-04,19.180000,19.660000,18.950001,19.600000,19.456499,50100
2023-12-05,19.299999,19.299999,18.760000,18.959999,18.821182,42200
2023-12-06,19.100000,19.299999,18.799999,18.910000,18.771549,53300
2023-12-07,18.860001,18.860001,18.510000,18.709999,18.573013,57900
2023-12-08,19.250000,21.170000,19.250000,20.750000,20.598078,112100
2023-12-11,21.110001,21.299999,19.856001,20.570000,20.419395,164100
2023-12-12,20.620001,20.620001,19.680000,20.565001,20.414433,84100
2023-12-13,20.219999,21.360001,19.480000,21.209999,21.054708,189100
2023-12-14,21.450001,22.559999,21.190001,22.260000,22.149237,191500
2023-12-15,22.150000,22.150000,20.889999,21.809999,21.701475,195900
2023-12-18,21.870001,21.870001,20.809999,21.250000,21.144262,140800
2023-12-19,21.500000,21.500000,20.559999,21.290001,21.184063,124600
2023-12-20,21.580000,21.677999,19.750000,20.035000,19.935308,232500
2023-12-21,20.350000,20.410000,19.219999,20.320000,20.218889,206400
2023-12-22,20.200001,20.660000,20.150000,20.600000,20.497498,99600
2023-12-26,20.400000,20.483000,20.100000,20.150000,20.049736,75800
2023-12-27,20.070000,20.070000,19.670000,19.809999,19.711426,93000
2023-12-28,19.799999,20.400000,19.799999,20.090000,19.990034,50500
2023-12-29,19.900000,20.072001,19.590000,19.660000,19.562174,69700
2024-01-02,19.559999,19.559999,19.139999,19.180000,19.084562,56500
2024-01-03,19.110001,19.110001,18.500000,18.980000,18.885557,57500
2024-01-04,19.040001,19.410999,18.959999,19.280001,19.184065,28200
2024-01-05,19.219999,20.002001,19.180000,19.580000,19.482571,19400
2024-01-08,19.450001,19.980000,19.420000,19.760000,19.661674,40200
2024-01-09,19.559999,19.559999,19.010000,19.010000,18.915407,32500
2024-01-10,19.049999,19.450001,18.830000,18.990000,18.895506,101100
2024-01-11,18.860001,18.860001,17.830000,18.240000,18.149239,97500
2024-01-12,18.430000,18.610001,18.150000,18.160000,18.069637,40800
2024-01-16,18.150000,18.450001,18.080000,18.350000,18.258694,44400
2024-01-17,18.100000,18.270000,17.930000,18.129999,18.039785,42900
2024-01-18,18.070000,18.230000,17.980000,18.215000,18.124363,29300
2024-01-19,18.299999,18.770000,18.020000,18.770000,18.676603,49600
2024-01-22,18.950001,19.549999,18.950001,19.430000,19.333319,45500
